nodeId,S_Hello,S_ReplyHello,S_LocationUpdate,S_LocationQuery,S_ReplyLocationQuery,S_Message,S_Register,S_RelayRegister,R_Hello,R_ReplyHello,R_LocationUpdate,R_LocationQuery,R_ReplyLocationQuery,R_Message,R_Register,R_RelayRegister,FailRouting,R_DataPacket,DataForward,DataRelayed,S_DataPacket
1,1,6,5,3,2,12,0,1,6,2,5,3,0,12,1,1,0,0,12,0,0
2,1,10,6,3,3,44,0,2,10,3,7,5,1,44,2,2,0,0,30,14,0
3,1,9,5,6,9,69,0,2,9,3,7,6,16,59,2,2,0,0,24,45,10
4,1,5,4,3,11,15,0,1,5,3,5,5,9,15,1,1,0,0,13,2,0
5,1,5,5,3,20,9,0,1,5,3,6,6,17,9,1,1,0,0,7,2,0
6,1,3,5,9,6,10,0,0,3,3,5,6,14,0,0,0,0,0,10,0,10
7,1,2,5,5,5,0,0,0,2,2,5,7,1,0,0,0,0,0,0,0,0
8,1,3,5,3,13,5,0,0,3,3,5,6,10,5,0,0,0,0,5,0,0
9,1,4,1,6,6,18,0,0,4,4,1,0,31,8,0,0,0,0,18,0,10
10,1,7,1,3,25,62,0,1,7,4,1,5,24,62,1,1,0,0,16,46,0
11,1,4,1,1,17,5,0,0,4,4,1,2,16,5,0,0,0,0,5,0,0
12,1,6,2,4,13,13,0,1,6,4,2,1,15,3,1,1,0,0,11,2,10
13,1,4,0,3,3,3,0,0,4,4,0,4,3,3,0,0,0,0,3,0,0
14,1,3,5,5,7,0,0,0,3,3,5,6,3,0,0,0,0,0,0,0,0
15,1,3,5,3,10,10,0,0,3,3,5,3,8,0,0,0,0,0,10,0,10
16,1,4,1,0,3,8,0,0,4,4,1,0,3,8,0,0,0,0,8,0,0
17,1,6,1,2,18,58,0,1,6,4,1,2,17,58,1,1,0,0,12,46,0
18,1,6,1,4,18,58,0,1,6,4,1,1,23,48,1,1,0,0,11,47,10
19,1,10,3,1,6,53,0,2,10,4,3,2,5,53,2,2,0,0,7,46,0
20,1,4,0,2,2,17,0,0,4,4,0,3,2,17,0,0,0,0,17,0,0
21,1,3,4,6,3,10,0,0,3,3,5,5,5,0,0,0,0,0,10,0,10
22,1,3,5,3,9,0,0,0,3,3,5,3,6,0,0,0,0,0,0,0,0
23,1,4,1,0,7,3,0,0,4,4,1,0,7,3,0,0,0,0,3,0,0
24,1,5,1,0,8,7,0,0,5,4,1,0,8,7,0,0,0,0,7,0,0
25,1,7,2,1,9,15,0,1,7,4,2,4,9,15,2,1,0,0,0,15,0
26,1,10,3,8,9,45,0,2,10,4,3,1,10,38,2,2,0,0,18,27,7
27,1,4,0,1,1,10,0,0,4,4,0,4,1,10,0,0,0,0,10,0,0
28,1,3,4,4,3,0,0,0,3,3,4,4,2,0,0,0,0,0,0,0,0
29,1,3,5,3,9,0,0,0,3,3,5,3,6,0,0,0,0,0,0,0,0
30,1,4,1,0,6,10,0,0,4,4,1,0,6,10,0,0,0,0,10,0,0
31,1,4,1,0,3,7,0,0,4,4,1,0,3,7,0,0,0,0,7,0,0
32,1,4,1,0,3,0,0,0,4,4,1,0,3,0,0,0,0,0,0,0,0
33,1,4,2,1,8,10,0,0,4,4,2,1,8,10,0,0,0,0,10,0,0
34,1,4,0,0,7,10,0,0,4,4,0,0,7,10,0,0,0,0,10,0,0
35,1,3,4,4,3,0,0,0,3,3,4,4,2,0,0,0,0,0,0,0,0
36,1,3,5,3,6,0,0,0,3,3,5,3,3,0,0,0,0,0,0,0,0
37,1,4,1,0,3,10,0,0,4,4,1,0,3,10,0,0,0,0,10,0,0
38,1,4,1,0,3,0,0,0,4,4,1,0,3,0,0,0,0,0,0,0,0
39,1,4,1,0,3,0,0,0,4,4,1,0,3,0,0,0,0,0,0,0,0
40,1,4,2,1,3,10,0,0,4,4,2,4,3,10,0,0,0,0,10,0,0
41,1,4,0,8,3,10,0,0,4,4,0,0,8,0,0,0,0,0,10,0,10
42,1,3,4,4,4,0,0,0,3,3,4,7,1,0,0,0,0,0,0,0,0
43,1,2,5,3,3,0,0,0,2,2,5,3,0,0,0,0,0,0,0,0,0
44,1,3,5,3,3,10,0,0,3,3,6,3,0,0,0,0,0,0,10,0,10
45,1,3,5,3,3,0,0,0,3,3,6,3,0,0,0,0,0,0,0,0,0
46,1,3,5,3,3,0,0,0,3,3,6,3,0,0,0,0,0,0,0,0,0
47,1,3,5,3,3,10,0,0,3,3,6,3,0,0,0,0,0,0,10,0,10
48,1,3,4,3,1,0,0,0,3,3,4,3,0,0,0,0,0,0,0,0,0
49,1,2,4,3,1,0,0,0,2,2,4,3,0,0,0,0,0,0,0,0,0
50,23,0,10,0,0,0,17,0,0,45,0,0,0,0,0,0,0,107,0,0,0
